Backbone,Vanilla mean latency (s),Controller mean latency (s),Mean overhead (%),Vanilla P95 latency (s),Controller P95 latency (s),P95 overhead (%),Accept actions,Abstain actions,Regenerate actions
Qwen3-8B,0.4593090090119988,0.4868881135250033,6.004477154133946,1.0680913664999703,1.0882154886998932,1.8841199199903316,532,468,30
LLaMA-3-8B-Instruct,0.30969696942599795,0.339389398861,9.587575070571383,0.6735263497001931,0.7100388860000514,5.421099904422614,517,483,52
Mistral-7B-Instruct-v0.2,0.7466923480679934,0.9295719839139988,24.49196597757988,1.2378776250994405,2.441814864199773,97.2581792165133,499,501,173
