Backbone,CEV AUROC,IAV AUROC,Fused AUROC,Fused AUROC 95% CI,AUPRC,Balanced accuracy,Hallucination F1,Brier score,ECE
Qwen3-8B,0.8877690269070665,0.8813236676080106,0.8887968803471162,0.8756–0.9013,0.812957597178293,0.8009983999768235,0.7364928909952607,0.12930705139774756,0.057392808652448106
LLaMA-3-8B-Instruct,0.878691566109445,0.8804147144190998,0.8819193759728545,0.8687–0.8946,0.8122539810249472,0.7920866149098501,0.7259050305594734,0.13280450376493957,0.0643044410648737
Mistral-7B-Instruct-v0.2,0.8686514357657993,0.8668896599633884,0.8719842641251385,0.8578–0.8851,0.8041983009987737,0.785035286818187,0.7172224760164458,0.1382077607688451,0.061748303788151444
