dimension_index,signed_activation,absolute_activation
11474,-23.11471,23.11471
3638,-20.926975,20.926975
9783,20.800165,20.800165
12443,-20.641613,20.641613
13292,-18.140083,18.140083
5788,-17.16454,17.16454
6087,16.464525,16.464525
685,15.690576,15.690576
10158,14.119434,14.119434
577,-12.657341,12.657341
10403,-11.798718,11.798718
13340,-11.754494,11.754494
