dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
131,-0.08935547,-1.3325921,1.3325921
132,0.18457031,2.8470914,2.8470914
133,0.026123047,0.4462168,0.4462168
134,-0.11376953,-1.0082223,1.0082223
135,0.1484375,1.6087226,1.6087226
136,-0.061035156,-0.8222123,0.8222123
137,-0.003250122,0.015124443,0.015124443
138,-0.111816406,-1.4394776,1.4394776
139,-0.007019043,-0.43954653,0.43954653
140,0.05493164,-0.13808966,0.13808966
141,-0.008850098,-0.116908215,0.116908215
142,-0.008300781,-0.89474404,0.89474404
143,0.013061523,0.5725184,0.5725184
144,0.0859375,1.9712449,1.9712449
145,-0.20117188,-1.616541,1.616541
146,-0.0038909912,0.18931483,0.18931483
147,-0.14550781,-1.8204937,1.8204937
148,0.006072998,0.06026001,0.06026001
149,-0.036865234,-0.9242543,0.9242543
150,0.033691406,0.20071957,0.20071957
151,0.012817383,-0.08976385,0.08976385
152,-0.26171875,-4.0005407,4.0005407
153,0.06591797,0.5465448,0.5465448
154,-0.05029297,-0.5086734,0.5086734
155,-0.03881836,0.012990246,0.012990246
156,0.032226562,0.34826985,0.34826985
157,0.012084961,0.46927556,0.46927556
158,-0.056884766,-0.39063352,0.39063352
159,-0.034179688,-0.8001328,0.8001328
160,4.1484833e-05,-0.08280526,0.08280526
161,0.09375,2.1052344,2.1052344
162,-0.033447266,-0.52105093,0.52105093
163,0.01574707,0.08952256,0.08952256
164,0.0070495605,0.95450616,0.95450616
165,0.064941406,1.8487475,1.8487475
166,0.0060424805,0.5162456,0.5162456
167,-0.028320312,0.079446316,0.079446316
168,0.11035156,2.132727,2.132727
169,0.023803711,0.4641972,0.4641972
170,-0.0019989014,-0.079325974,0.079325974
171,0.01373291,-0.44881162,0.44881162
172,-0.12988281,-0.8752313,0.8752313
173,0.07421875,1.6412485,1.6412485
174,0.15136719,2.632705,2.632705
175,0.00020980835,0.33601704,0.33601704
176,-0.5859375,-2.2761703,2.2761703
177,0.02746582,0.8521566,0.8521566
178,0.057861328,1.8525863,1.8525863
179,0.096191406,1.2232163,1.2232163
180,-0.026245117,0.31113374,0.31113374
181,0.1484375,2.7167604,2.7167604
182,-0.0010299683,0.4215766,0.4215766
183,-0.12988281,-2.892648,2.892648
184,-0.021118164,-0.051100068,0.051100068
185,0.005340576,0.35290208,0.35290208
186,0.06298828,0.73067707,0.73067707
187,0.0703125,2.049089,2.049089
188,0.076171875,1.0475385,1.0475385
189,-0.0625,-1.4104842,1.4104842
190,-0.04296875,-0.20908357,0.20908357
191,-0.17675781,-3.86144,3.86144
192,0.15527344,2.6562812,2.6562812
193,-0.009277344,0.021872811,0.021872811
194,-0.0021514893,-0.0013223808,0.0013223808
195,-4.529953e-05,0.35121292,0.35121292
196,-0.0017242432,-0.24691306,0.24691306
197,0.03540039,0.5884217,0.5884217
198,0.06689453,0.6329596,0.6329596
199,0.03173828,0.39233407,0.39233407
200,-0.013183594,-0.5624601,0.5624601
201,0.0046081543,0.6750303,0.6750303
202,0.13476562,1.5699983,1.5699983
203,-0.0154418945,0.09340388,0.09340388
204,-0.13867188,-0.72257286,0.72257286
205,-0.05102539,-1.152247,1.152247
206,0.0038604736,-0.32258,0.32258
207,0.0024261475,0.32578307,0.32578307
208,0.00019931793,0.33456057,0.33456057
209,-0.026611328,0.24109904,0.24109904
210,0.076171875,0.62255985,0.62255985
211,0.038330078,0.8061106,0.8061106
212,0.016479492,-0.2648207,0.2648207
213,-0.018310547,-0.59234405,0.59234405
214,-0.045898438,-0.86048365,0.86048365
215,0.0013046265,0.3376606,0.3376606
216,-0.0039367676,-0.32330522,0.32330522
217,-0.017944336,-0.41444346,0.41444346
218,-0.02734375,-0.43270606,0.43270606
219,-0.068847656,-1.3783747,1.3783747
220,-0.04638672,-0.9840568,0.9840568
221,0.043701172,1.1095334,1.1095334
222,-0.03100586,0.11854166,0.11854166
223,-0.022949219,0.9423277,0.9423277
224,-0.25585938,-2.2236438,2.2236438
225,0.15527344,2.3384259,2.3384259
226,-0.009643555,0.56764674,0.56764674
227,0.03491211,0.818123,0.818123
228,-0.057617188,-0.6720292,0.6720292
229,-0.025634766,-0.62418664,0.62418664
230,0.040771484,0.07492969,0.07492969
231,0.09472656,1.8240693,1.8240693
232,0.05053711,0.42276797,0.42276797
233,0.021728516,0.4328964,0.4328964
234,-0.15917969,-1.0761936,1.0761936
235,0.0016784668,-0.07608792,0.07608792
236,-0.03491211,-0.64018464,0.64018464
237,0.14355469,2.6431847,2.6431847
238,-0.042236328,-0.46068707,0.46068707
239,0.06640625,1.2279919,1.2279919
240,0.020141602,-0.11225027,0.11225027
241,-0.007080078,0.25889695,0.25889695
242,-0.033691406,-0.9418206,0.9418206
243,-0.71484375,-9.268804,9.268804
244,0.00491333,0.15319303,0.15319303
245,-0.21191406,-2.3550825,2.3550825
246,0.018066406,0.36120048,0.36120048
247,0.111328125,0.6775801,0.6775801
248,-0.025634766,-0.4459427,0.4459427
249,0.03540039,0.6873914,0.6873914
250,0.033203125,-0.010293957,0.010293957
251,0.09277344,1.9203355,1.9203355
252,0.06689453,1.1637901,1.1637901
253,0.028564453,0.35099822,0.35099822
254,-4.4107437e-05,-0.27566233,0.27566233
255,0.091796875,1.3269752,1.3269752
256,0.040039062,0.67775285,0.67775285
257,-0.003967285,0.3723716,0.3723716
258,-0.010559082,-0.40150023,0.40150023
259,0.05859375,0.103286125,0.103286125
260,0.036132812,0.3636043,0.3636043
261,-0.19726562,-1.9879937,1.9879937
262,-0.00037574768,-0.11803086,0.11803086
263,0.021362305,0.097174704,0.097174704
264,0.04736328,0.20470797,0.20470797
265,-0.12890625,-2.5299332,2.5299332
266,-0.45898438,-9.520217,9.520217
267,0.25390625,2.9563284,2.9563284
268,5.7458878e-05,-0.3248971,0.3248971
269,0.06225586,1.2423292,1.2423292
270,0.018310547,0.57270265,0.57270265
271,0.118652344,2.190169,2.190169
272,0.023071289,1.1383193,1.1383193
273,-0.0029296875,0.11286579,0.11286579
274,0.087890625,0.74700767,0.74700767
275,0.07763672,0.8852689,0.8852689
276,0.096191406,1.3914453,1.3914453
277,-0.017944336,-0.12200714,0.12200714
278,-0.013244629,0.5503699,0.5503699
279,0.0015487671,0.8688562,0.8688562
280,-0.095703125,-1.3764673,1.3764673
281,-0.111816406,-2.0569222,2.0569222
282,-0.03149414,0.19440618,0.19440618
283,-0.063964844,-0.9991365,0.9991365
284,-0.028564453,-0.07593956,0.07593956
285,0.095214844,1.2728411,1.2728411
286,0.015197754,-0.15008982,0.15008982
287,-0.01940918,-0.1746184,0.1746184
288,-0.03173828,0.13665116,0.13665116
289,0.023925781,0.006812254,0.006812254
290,0.022460938,0.54636484,0.54636484
291,-0.004425049,0.61170405,0.61170405
292,-0.014526367,-0.5728727,0.5728727
293,-0.10058594,-1.6096357,1.6096357
294,-0.0015335083,0.10783274,0.10783274
295,0.046875,1.1403615,1.1403615
296,0.10839844,1.7674912,1.7674912
297,0.055908203,-0.10808987,0.10808987
298,-0.0005569458,0.2772419,0.2772419
299,-0.049804688,-0.60180783,0.60180783
300,-0.0050354004,0.16053171,0.16053171
301,0.028686523,0.7464902,0.7464902
302,0.0020141602,-0.33508408,0.33508408
303,0.036621094,0.5414601,0.5414601
304,-0.00022125244,-0.27529284,0.27529284
305,0.0010681152,-0.0054946095,0.0054946095
306,-0.05859375,-1.1182481,1.1182481
307,-0.15820312,0.17708077,0.17708077
308,0.020385742,1.2085326,1.2085326
309,0.02746582,0.38681254,0.38681254
310,0.015991211,0.22979924,0.22979924
311,0.06640625,0.60225666,0.60225666
312,-0.025146484,0.22703996,0.22703996
313,-0.025634766,0.08820853,0.08820853
314,0.07910156,1.1971763,1.1971763
315,0.10644531,1.439165,1.439165
316,-0.15625,-1.5991162,1.5991162
317,0.016845703,0.23313427,0.23313427
318,0.05883789,1.489781,1.489781
319,-0.14550781,-1.8763707,1.8763707
320,-0.028442383,-0.88287103,0.88287103
321,0.07763672,0.5836421,0.5836421
322,-0.030639648,-0.44209033,0.44209033
323,-0.021972656,-0.8877623,0.8877623
324,0.005432129,-0.26517004,0.26517004
325,-0.03149414,-0.49657163,0.49657163
326,0.08984375,2.2115328,2.2115328
327,0.002456665,0.07174546,0.07174546
328,0.014831543,0.5077223,0.5077223
329,0.01159668,0.26753053,0.26753053
330,0.09423828,1.3979448,1.3979448
331,-0.036132812,0.0686626,0.0686626
332,0.03149414,-0.031972494,0.031972494
333,0.17675781,1.4324372,1.4324372
334,-0.01574707,0.12838303,0.12838303
335,0.023071289,1.3654879,1.3654879
336,-0.037109375,-0.7499461,0.7499461
337,-0.03149414,-0.69864273,0.69864273
338,0.0021820068,-0.26788995,0.26788995
339,0.01965332,-0.013080286,0.013080286
340,-0.12792969,-2.0873342,2.0873342
341,-0.011230469,-0.13440746,0.13440746
342,-0.07373047,-0.3565606,0.3565606
343,0.0703125,0.30243307,0.30243307
344,-0.05810547,-0.5143746,0.5143746
345,0.107910156,2.25462,2.25462
346,-0.09667969,-1.4587425,1.4587425
347,-0.06982422,-1.834833,1.834833
348,0.0859375,2.1093519,2.1093519
349,-0.052734375,-0.99681216,0.99681216
350,-0.25976562,-4.2690406,4.2690406
351,0.09423828,0.9534254,0.9534254
352,-0.024291992,-0.23761934,0.23761934
353,0.025146484,0.071295016,0.071295016
354,-0.07128906,-0.87794864,0.87794864
355,-0.11035156,-2.072591,2.072591
356,0.05834961,0.6263304,0.6263304
357,0.052490234,0.94592875,0.94592875
358,0.10986328,1.7272079,1.7272079
359,-0.0036315918,-0.09664044,0.09664044
360,0.091796875,0.58780223,0.58780223
361,-0.10253906,-1.7033701,1.7033701
362,-0.09326172,-0.8128999,0.8128999
363,0.095214844,0.9757378,0.9757378
364,0.099609375,1.5842988,1.5842988
365,0.34765625,8.667856,8.667856
366,-0.033203125,0.0706672,0.0706672
367,0.004699707,0.17508674,0.17508674
368,0.1328125,1.886072,1.886072
369,-0.052734375,0.26639363,0.26639363
370,-0.21484375,-1.0781081,1.0781081
371,-0.037841797,-0.087849796,0.087849796
372,0.009887695,0.24553376,0.24553376
373,0.016845703,0.39461282,0.39461282
374,0.09814453,0.7469249,0.7469249
375,-0.022705078,-0.76711166,0.76711166
376,0.15820312,2.1879144,2.1879144
377,-0.021362305,0.0885439,0.0885439
378,0.037353516,-0.042066842,0.042066842
379,-0.092285156,-1.458926,1.458926
380,0.21386719,2.5409396,2.5409396
381,0.011962891,0.35772532,0.35772532
382,-0.06982422,-1.2408205,1.2408205
383,-0.15820312,-1.0854619,1.0854619
384,-0.12597656,-2.8068242,2.8068242
385,-0.013977051,0.13287622,0.13287622
386,-0.064453125,-1.1022602,1.1022602
387,-0.064941406,-1.3761374,1.3761374
388,-0.030029297,-0.6830188,0.6830188
389,0.080078125,0.8369621,0.8369621
390,-0.05419922,-0.44525808,0.44525808
391,-0.0077209473,0.43153706,0.43153706
392,-0.024780273,-0.40260854,0.40260854
393,-0.0073547363,0.10724406,0.10724406
394,0.03112793,0.92686325,0.92686325
395,-0.00011062622,-0.20510828,0.20510828
396,0.07861328,1.8873494,1.8873494
397,0.041503906,0.6145428,0.6145428
398,-0.038330078,-0.6939947,0.6939947
399,-0.010314941,0.1620185,0.1620185
400,-0.030761719,-0.48213953,0.48213953
401,0.043945312,0.8438529,0.8438529
402,0.03125,1.0565848,1.0565848
403,0.037597656,0.3347747,0.3347747
404,0.009094238,0.5377374,0.5377374
405,-0.036132812,-0.9711442,0.9711442
406,0.02758789,1.8943034,1.8943034
407,-0.08154297,-1.0795472,1.0795472
408,0.032470703,0.26365817,0.26365817
409,-0.029663086,-0.17775607,0.17775607
410,0.0019226074,-1.0479754,1.0479754
411,0.026489258,-0.1599833,0.1599833
412,-0.15429688,-2.2274249,2.2274249
413,0.10839844,0.7631444,0.7631444
414,-0.014038086,0.009244097,0.009244097
415,-0.083984375,-0.9886797,0.9886797
416,0.0022735596,0.04056079,0.04056079
417,0.109375,2.1658454,2.1658454
418,-0.016601562,-0.526072,0.526072
419,0.03173828,0.5228065,0.5228065
420,-0.09716797,-1.4115721,1.4115721
421,-0.016113281,-0.36871827,0.36871827
422,0.033691406,0.7253678,0.7253678
423,-0.003479004,-0.50768024,0.50768024
424,0.014831543,-0.29118094,0.29118094
425,0.003967285,0.19154443,0.19154443
426,-0.017333984,-0.6973839,0.6973839
427,0.008117676,-0.0095579345,0.0095579345
428,0.0033569336,0.20051892,0.20051892
429,0.05053711,0.3885929,0.3885929
430,-0.06591797,-1.0290093,1.0290093
431,-0.1171875,-1.2070241,1.2070241
432,0.10595703,1.1534077,1.1534077
433,-0.009399414,-0.28832424,0.28832424
434,0.34960938,2.5272198,2.5272198
435,-0.072265625,-1.5313288,1.5313288
436,-3.886223e-05,-0.12246631,0.12246631
437,0.0014038086,0.0010356879,0.0010356879
438,0.07373047,0.17104732,0.17104732
439,0.07519531,1.4395485,1.4395485
440,0.07080078,-0.41191563,0.41191563
441,0.14355469,1.203186,1.203186
442,-0.04248047,-0.72261864,0.72261864
443,0.010803223,0.7603091,0.7603091
444,-0.1484375,-1.0197392,1.0197392
445,0.29492188,4.8519535,4.8519535
