dimension_index,signed_activation,absolute_activation
3685,-4.9330473,4.9330473
3595,4.722574,4.722574
12,4.5509524,4.5509524
2927,4.486129,4.486129
1653,4.483345,4.483345
2503,-4.4609637,4.4609637
1971,-4.335484,4.335484
2396,-4.285105,4.285105
1077,4.257877,4.257877
3030,-4.2119966,4.2119966
2568,-4.1098623,4.1098623
546,4.007986,4.007986
