dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
132,0.09326172,0.33591276,0.33591276
133,-0.059570312,-0.55694443,0.55694443
134,-0.0063476562,-0.4792079,0.4792079
135,0.028808594,0.823111,0.823111
136,0.009643555,-0.2502436,0.2502436
137,-0.071777344,-0.67138606,0.67138606
138,0.23242188,2.5924823,2.5924823
139,0.17871094,2.2103145,2.2103145
140,0.033691406,0.69253266,0.69253266
141,-0.08203125,-1.2012204,1.2012204
142,0.2109375,0.8872782,0.8872782
143,0.09765625,1.9943724,1.9943724
144,0.07128906,1.0911961,1.0911961
145,-0.11767578,-1.9866616,1.9866616
146,0.068847656,1.4940989,1.4940989
147,-0.114746094,-1.6314771,1.6314771
148,-0.04248047,-0.4924006,0.4924006
149,-0.114746094,-1.9923295,1.9923295
150,-0.11669922,-1.2440848,1.2440848
151,-0.12451172,-2.5960536,2.5960536
152,-0.013671875,-0.21099418,0.21099418
153,0.087402344,0.59230804,0.59230804
154,-0.052490234,-0.29238626,0.29238626
155,-0.13867188,-0.11591537,0.11591537
156,0.049072266,0.6415911,0.6415911
157,-0.08105469,-0.7363885,0.7363885
158,0.19824219,0.44906285,0.44906285
159,-0.035888672,-0.4043939,0.4043939
160,-0.0029296875,0.0680207,0.0680207
161,0.007080078,-0.14338863,0.14338863
162,-0.100097656,-1.9491866,1.9491866
163,0.0053710938,0.4547896,0.4547896
164,-0.055419922,-1.5790493,1.5790493
165,0.049804688,0.4926999,0.4926999
166,0.013916016,0.64,0.64
167,-0.015380859,0.53243834,0.53243834
168,0.06982422,1.0671978,1.0671978
169,-0.033691406,0.28602144,0.28602144
170,-0.047607422,0.06607412,0.06607412
171,0.05810547,0.13344178,0.13344178
172,-0.15527344,-1.5122371,1.5122371
173,-0.08935547,-1.291423,1.291423
174,-0.045898438,-0.8532411,0.8532411
175,-0.13183594,-0.46389717,0.46389717
176,0.21484375,2.1681666,2.1681666
177,-0.13671875,0.30108017,0.30108017
178,0.006439209,-0.23433368,0.23433368
179,-0.05834961,-1.0670824,1.0670824
180,0.004638672,-0.2295724,0.2295724
181,0.0078125,0.4983879,0.4983879
182,0.037597656,0.64405984,0.64405984
183,0.06640625,0.8778534,0.8778534
184,0.016601562,0.47393826,0.47393826
185,0.07519531,0.37458003,0.37458003
186,-0.02709961,-0.9401748,0.9401748
187,-0.036621094,0.649078,0.649078
188,-0.515625,-1.6306206,1.6306206
189,0.053710938,0.27025643,0.27025643
