dimension_index,signed_activation,absolute_activation
12981,19.105131,19.105131
7480,-12.259971,12.259971
300,10.473782,10.473782
12096,-10.449924,10.449924
7846,-9.288066,9.288066
11993,-8.6959305,8.6959305
11894,8.296707,8.296707
9813,7.9090085,7.9090085
7543,7.0825725,7.0825725
2163,6.8688517,6.8688517
11164,6.824255,6.824255
3833,6.8137465,6.8137465
