dimension_index,signed_activation,absolute_activation
984,-3.7187045,3.7187045
2313,-3.4129798,3.4129798
3461,-3.3788772,3.3788772
2142,-3.3752525,3.3752525
3702,-3.362623,3.362623
3754,3.3173678,3.3173678
3869,3.2824821,3.2824821
2876,3.2520888,3.2520888
2858,3.1845465,3.1845465
1442,-3.1815896,3.1815896
788,-3.1435757,3.1435757
598,-3.1171978,3.1171978
