dimension_index,signed_activation,absolute_activation
6378,40.955547,40.955547
3823,17.916162,17.916162
11691,16.049603,16.049603
12809,-15.488978,15.488978
12468,13.194051,13.194051
5130,-12.217246,12.217246
3464,-11.998882,11.998882
9655,11.363255,11.363255
819,-11.094499,11.094499
142,-11.014654,11.014654
11158,-10.629831,10.629831
6920,10.62468,10.62468
