dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
132,0.059326172,1.1300272,1.1300272
133,0.004638672,-0.03968907,0.03968907
134,-0.34375,-3.883844,3.883844
135,0.100097656,0.9419239,0.9419239
136,0.091796875,2.2701008,2.2701008
137,-0.016967773,-0.2860793,0.2860793
138,0.06347656,1.8034651,1.8034651
139,0.037353516,-0.12930408,0.12930408
140,0.07421875,0.036894068,0.036894068
141,-0.017700195,-0.34734946,0.34734946
142,-0.5703125,-11.014654,11.014654
143,0.028808594,0.8304175,0.8304175
144,-0.04296875,-0.249949,0.249949
145,0.01977539,0.3025559,0.3025559
146,0.050048828,0.8525839,0.8525839
147,0.061279297,1.0554972,1.0554972
148,-0.042236328,-0.7262144,0.7262144
149,-0.0014419556,-0.24017285,0.24017285
150,-0.06591797,-1.346439,1.346439
151,-0.068847656,-1.7577581,1.7577581
152,-0.16699219,-2.535908,2.535908
153,0.051757812,0.2790084,0.2790084
154,-0.08935547,-1.0295211,1.0295211
155,-0.0390625,0.010340978,0.010340978
156,0.0625,0.5939861,0.5939861
157,-0.1640625,-1.6423683,1.6423683
158,-0.13085938,-1.0088596,1.0088596
159,0.016113281,-0.0038306261,0.0038306261
160,0.029174805,0.54059535,0.54059535
161,0.010559082,0.48551804,0.48551804
162,-0.0007209778,0.022384277,0.022384277
163,-0.027954102,-0.19067903,0.19067903
164,0.047607422,1.7772281,1.7772281
165,-0.056396484,-0.7230559,0.7230559
166,-0.18945312,-1.6714573,1.6714573
167,0.05908203,0.8707525,0.8707525
168,0.049804688,1.0025349,1.0025349
169,-0.03491211,-0.29559872,0.29559872
170,0.024536133,0.22361118,0.22361118
171,-8.881092e-06,-0.62896687,0.62896687
172,0.007873535,0.4994008,0.4994008
173,0.12890625,2.6212213,2.6212213
174,-0.036865234,-0.19788267,0.19788267
175,-0.020019531,0.105603546,0.105603546
176,-0.3046875,-0.6046433,0.6046433
177,0.003967285,0.5372606,0.5372606
178,-0.025390625,0.29859316,0.29859316
179,0.008666992,-0.38637733,0.38637733
180,-0.08642578,-0.55781806,0.55781806
181,0.31054688,5.1287823,5.1287823
182,0.030395508,0.9921699,0.9921699
183,0.026367188,0.53707224,0.53707224
184,-0.0065307617,0.21409743,0.21409743
185,0.017333984,0.62192124,0.62192124
186,0.15136719,2.2915921,2.2915921
187,0.018066406,0.5225383,0.5225383
188,0.00491333,0.026014578,0.026014578
189,0.087890625,1.2704599,1.2704599
190,0.032226562,0.7215026,0.7215026
191,-0.12792969,-2.7646663,2.7646663
192,0.06347656,0.95986974,0.95986974
193,-0.12890625,-2.328453,2.328453
194,-0.02758789,-0.6333772,0.6333772
195,-0.005279541,0.2580204,0.2580204
196,-0.049804688,-1.1131611,1.1131611
197,0.013061523,0.20583124,0.20583124
198,0.021240234,-0.100062296,0.100062296
199,0.14941406,1.8598951,1.8598951
200,0.12988281,0.76400274,0.76400274
201,0.0072021484,0.70922637,0.70922637
202,0.072265625,0.51183224,0.51183224
203,0.012939453,0.6015186,0.6015186
204,-0.055664062,0.37003806,0.37003806
205,-0.0390625,-0.9487641,0.9487641
206,0.040039062,-0.03504823,0.03504823
207,0.0390625,1.1719638,1.1719638
208,0.0036773682,0.37948793,0.37948793
209,-0.07763672,-0.8354161,0.8354161
210,-0.00040245056,-0.51600116,0.51600116
