dimension_index,raw_activation,standardized_activation,absolute_standardized_activation
2377,0.045410156,-0.1540293,0.1540293
2378,-0.16699219,-2.0645843,2.0645843
2379,-0.05053711,-0.6093318,0.6093318
2380,0.092285156,1.2230866,1.2230866
2381,0.203125,2.2981012,2.2981012
2382,-0.009887695,1.0408906,1.0408906
2383,0.17675781,2.5974946,2.5974946
2384,-0.03857422,-1.2392782,1.2392782
2385,0.19140625,2.0916572,2.0916572
2386,0.22070312,0.1119449,0.1119449
2387,0.03955078,0.009351973,0.009351973
2388,0.35742188,1.9032874,1.9032874
2389,0.061767578,0.40055764,0.40055764
2390,0.056152344,0.34003654,0.34003654
2391,-0.056396484,0.2089884,0.2089884
2392,0.009521484,0.6527994,0.6527994
2393,0.040527344,0.54573685,0.54573685
2394,-0.005859375,0.5070009,0.5070009
2395,0.12011719,1.560768,1.560768
2396,-0.1328125,-2.5729148,2.5729148
2397,-0.080078125,-0.59347516,0.59347516
2398,0.068847656,-0.8789331,0.8789331
2399,-0.041015625,-1.0080901,1.0080901
2400,-0.12207031,-0.85960954,0.85960954
2401,0.076171875,0.7813937,0.7813937
2402,-0.088378906,-0.5570389,0.5570389
2403,0.020263672,0.12939242,0.12939242
2404,0.087402344,1.2605513,1.2605513
2405,0.016601562,-0.23142597,0.23142597
2406,0.04321289,0.71100694,0.71100694
2407,-0.013671875,0.06179887,0.06179887
2408,0.118652344,0.78483284,0.78483284
2409,-0.23144531,-2.6919231,2.6919231
2410,0.08154297,-0.41163024,0.41163024
2411,-0.16308594,-1.7380072,1.7380072
2412,-0.03125,0.051478177,0.051478177
2413,0.123535156,1.6790438,1.6790438
2414,-0.029541016,-0.7291994,0.7291994
2415,0.11376953,1.5984193,1.5984193
2416,0.07421875,1.1643165,1.1643165
2417,0.16015625,1.4007072,1.4007072
2418,0.011230469,0.41262898,0.41262898
2419,0.091796875,2.0237594,2.0237594
2420,-0.015136719,-0.645231,0.645231
2421,-0.007080078,0.16515665,0.16515665
2422,0.03881836,0.8818423,0.8818423
2423,0.09326172,0.7879842,0.7879842
2424,0.119140625,1.137537,1.137537
2425,0.0033569336,0.11090465,0.11090465
2426,0.013427734,0.026414026,0.026414026
2427,-0.021484375,-0.18947195,0.18947195
2428,-0.020507812,-0.14577235,0.14577235
2429,0.0008544922,0.6446729,0.6446729
2430,-0.040283203,-1.1899197,1.1899197
2431,0.11425781,2.7660184,2.7660184
2432,0.07324219,0.092956595,0.092956595
2433,-0.06347656,-1.6345717,1.6345717
2434,-0.00024414062,0.4649209,0.4649209
2435,-0.13671875,-1.7914331,1.7914331
